sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
0,5,0.0,1125000,0.67,6,0,1,0,0
0,13,0.0,879000,0.52,6,0,2,0,0
0,15,0.0,2500000,1.48,6,0,2,0,0
0,14,4.099999999999994,1199000,0.71,5,0,1,1,0
0,119,4.0,1848000,1.09,2,0,4,2,2
0,16,0.0,1895000,1.12,6,0,3,1,2
0,36,0.0,1388000,0.82,5,0,1,0,2
0,21,0.0,2650000,1.57,5,0,1,0,1
0,42,16.299999999999997,1549000,0.92,5,0,1,1,0
0,22,5.900000000000006,3195000,1.89,5,0,2,2,2
0,71,7.0,1999000,1.18,4,0,2,3,4
0,19,9.599999999999994,1988000,1.18,4,0,2,1,1
0,34,4.799999999999997,1418000,0.84,4,0,1,1,1
0,77,11.599999999999994,1299000,0.77,3,0,2,2,1
0,29,3.700000000000003,1035000,0.61,4,0,1,1,1
0,78,0.0,899900,0.53,4,0,1,0,4
0,122,5.700000000000003,1085000,0.64,1,0,2,3,0
0,59,1.9000000000000057,1195000,0.71,4,0,1,1,4
0,153,0.0,7950000,4.71,1,0,6,1,1
0,12,0.0,958000,0.57,6,0,1,0,2
0,86,2.9000000000000057,1698000,1.01,1,0,2,1,1
0,188,11.200000000000003,1198000,0.71,11,0,2,6,1
0,147,0.0,2095000,1.24,1,0,1,0,1
0,45,5.799999999999997,895000,0.53,1,0,3,5,0
0,217,16.200000000000003,1499000,0.89,10,0,1,3,1
0,37,0.0,799000,1.02,5,0,2,0,2
0,27,0.0,999900,1.28,5,0,2,0,4
0,84,10.799999999999997,659000,0.84,2,0,3,6,0
0,85,0.0,1525000,1.95,3,0,1,0,1
0,4,0.0,650000,1.23,6,0,1,0,0
0,14,0.0,550000,1.04,6,0,5,1,1
0,202,4.099999999999994,539888,1.02,7,0,2,5,0
0,17,4.599999999999994,514000,0.97,5,0,1,1,1
0,36,3.5999999999999943,539000,1.02,5,0,3,1,1
0,67,6.200000000000003,1275000,2.42,4,0,1,2,2
0,63,3.4000000000000057,1449000,2.75,2,0,2,1,1
0,63,9.5,360000,0.68,4,0,2,2,4
0,37,0.0,1395000,2.64,5,0,1,0,1
0,15,0.0,1199999,2.27,6,0,1,0,1
0,54,0.0,975000,1.85,4,0,1,0,1
0,42,8.799999999999997,775000,1.47,4,0,4,5,2
0,31,0.0,699999,0.59,5,0,1,0,0
0,35,0.0,1399000,1.18,5,0,2,3,1
0,17,0.0,989000,0.84,6,0,1,0,0
0,47,0.0,1295000,1.1,5,0,1,0,0
0,45,0.0,1175000,0.99,5,0,5,8,0
0,49,0.0,1749000,1.48,5,0,1,0,1
0,20,1.2999999999999972,1850000,1.56,7,0,1,1,1
0,86,0.0,1224000,1.04,3,0,5,6,0
0,42,0.0,2795000,2.36,5,0,2,1,0
0,55,0.0,799000,0.68,4,0,2,0,1
0,70,0.0,899999,0.76,4,0,1,0,1
0,66,4.400000000000006,1099000,0.93,1,0,2,1,2
0,71,2.799999999999997,1045000,0.88,3,0,2,1,1
0,49,0.0,2475000,2.09,5,0,7,4,1
0,27,3.200000000000003,949000,0.8,3,0,4,2,1
0,156,7.099999999999994,999000,0.84,1,0,4,3,1
