,address,sold,days,discount,price,Ration2Median,MonthList,MonthSold,NumList,NumPC,NumSold
0,"96 Old Hollow Rd, Short Hills, NJ 07078",0,5,100.0,1125000,0.67,6,0,1,0,0
1,"355 Old Short Hills Rd, Short Hills, NJ 07078",0,13,100.0,879000,0.52,6,0,2,0,0
2,"37 Slayton Dr, Short Hills, NJ 07078",0,15,100.0,2500000,1.48,6,0,2,0,0
3,"9 Ferncliff Ter, Short Hills, NJ 07078",0,14,95.9,1199000,0.71,5,0,1,1,0
4,"137 Silver Spring Rd, Short Hills, NJ 07078",0,119,96.0,1848000,1.09,2,0,4,2,2
5,"104 Browning Rd, Short Hills, NJ 07078",0,16,100.0,1895000,1.12,6,0,3,1,2
6,"45 North Rd, Short Hills, NJ 07078",0,36,100.0,1388000,0.82,5,0,1,0,2
7,"61 Hemlock Rd, Short Hills, NJ 07078",0,21,100.0,2650000,1.57,5,0,1,0,1
8,"17 Cambridge Dr, Short Hills, NJ 07078",0,42,83.7,1549000,0.92,5,0,1,1,0
9,"15 Alan Dr, Short Hills, NJ 07078",0,22,94.1,3195000,1.89,5,0,2,2,2
10,"125 Farley Rd, Short Hills, NJ 07078",0,71,93.0,1999000,1.18,4,0,2,3,4
11,"5 Denman Ct, Short Hills, NJ 07078",0,19,90.4,1988000,1.18,4,0,2,1,1
12,"24 Sherwood Rd, Short Hills, NJ 07078",0,34,95.2,1418000,0.84,4,0,1,1,1
13,"264 Long Hill Dr, Short Hills, NJ 07078",0,77,88.4,1299000,0.77,3,0,2,2,1
14,"49 Whitney Rd, Short Hills, NJ 07078",0,29,96.3,1035000,0.61,4,0,1,1,1
15,"978 S Orange Ave, Short Hills, NJ 07078",0,78,100.0,899900,0.53,4,0,1,0,4
16,"26 Woodland Rd, Short Hills, NJ 07078",0,122,94.3,1085000,0.64,1,0,2,3,0
17,"9 Dogwood Dr, Short Hills, NJ 07078",0,59,98.1,1195000,0.71,4,0,1,1,4
18,"85 Stewart Rd, Short Hills, NJ 07078",0,153,100.0,7950000,4.71,1,0,6,1,1
19,"19 Oak Hill Rd, Short Hills, NJ 07078",0,12,100.0,958000,0.57,6,0,1,0,2
20,"1 Lenape Rd, Short Hills, NJ 07078",0,86,97.1,1698000,1.01,1,0,2,1,1
21,"2 Deerfield Rd, Short Hills, NJ 07078",0,188,88.8,1198000,0.71,11,0,2,6,1
22,"13 Tioga Pass, Short Hills, NJ 07078",0,147,100.0,2095000,1.24,1,0,1,0,1
23,"193 Parsonage Hill Rd, Short Hills, NJ 07078",0,45,94.2,895000,0.53,1,0,3,5,0
24,"17 Clive Hills Rd, Short Hills, NJ 07078",0,217,83.8,1499000,0.89,10,0,1,3,1
25,"22 Old Short Hills Rd, Millburn, NJ 07041",0,37,100.0,799000,1.02,5,0,2,0,2
26,"11 Wittkop Pl, Millburn, NJ 07041",0,27,100.0,999900,1.28,5,0,2,0,4
27,"8 Rosedale Ave, Millburn, NJ 07041",0,84,89.2,659000,0.84,2,0,3,6,0
28,"99 Myrtle Ave, Millburn, NJ 07041",0,85,100.0,1525000,1.95,3,0,1,0,1
29,"40 Intervale Rd, Livingston, NJ 07039",0,4,100.0,650000,1.23,6,0,1,0,0
30,"47 N Ashby Ave, Livingston, NJ 07039",0,14,100.0,550000,1.04,6,0,5,1,1
31,"298 Hillside Ave, Livingston, NJ 07039",0,202,95.9,539888,1.02,7,0,2,5,0
32,"17 W McClellan Ave, Livingston, NJ 07039",0,17,95.4,514000,0.97,5,0,1,1,1
33,"18 Intervale Rd, Livingston, NJ 07039",0,36,96.4,539000,1.02,5,0,3,1,1
34,"24 Stonewall Dr, Livingston, NJ 07039",0,67,93.8,1275000,2.42,4,0,1,2,2
35,"7 Nottingham Rd, Livingston, NJ 07039",0,63,96.6,1449000,2.75,2,0,2,1,1
36,"40 Burnet St, Livingston, NJ 07039",0,63,90.5,360000,0.68,4,0,2,2,4
37,"10 Putnam Rd, Livingston, NJ 07039",0,37,100.0,1395000,2.64,5,0,1,0,1
38,"3 Templar Way, Livingston, NJ 07039",0,15,100.0,1199999,2.27,6,0,1,0,1
39,"65 Edgemere Rd, Livingston, NJ 07039",0,54,100.0,975000,1.85,4,0,1,0,1
40,"77 Palmer Dr, Livingston, NJ 07039",0,910,60.5,432883,0.82,12,0,2,9,1
41,"45 Hickory Pl, Livingston, NJ 07039",0,42,91.2,775000,1.47,4,0,4,5,2
42,"102 Round Hill Rd, Armonk, NY 10504",0,31,100.0,699999,0.59,5,0,1,0,0
43,"24 Half Mile Rd, Armonk, NY 10504",1,0,100.0,800000,0.68,0,5,0,0,3
44,"8 Embassy Ct, Armonk, NY 10504",0,35,100.0,1399000,1.18,5,0,2,3,1
45,"9 Laurel Hill Pl, Armonk, NY 10504",0,17,100.0,989000,0.84,6,0,1,0,0
46,"14 School St, Armonk, NY 10504",0,47,100.0,1295000,1.1,5,0,1,0,0
47,"2 Spruce Hill Rd, Armonk, NY 10504",0,45,100.0,1175000,0.99,5,0,5,8,0
48,"6 Whippoorwill Rd, Armonk, NY 10504",0,49,100.0,1749000,1.48,5,0,1,0,1
49,"1 Fox Run, Armonk, NY 10504",0,20,98.7,1850000,1.56,7,0,1,1,1
50,"12 Stone Hollow Way, Armonk, NY 10504",0,86,100.0,1224000,1.04,3,0,5,6,0
51,"6 Hadley Rd, Armonk, NY 10504",0,42,100.0,2795000,2.36,5,0,2,1,0
52,"31 Nichols Rd, Armonk, NY 10504",0,55,100.0,799000,0.68,4,0,2,0,1
53,"30 Whippoorwill Rd, Armonk, NY 10504",1,0,100.0,1630000,1.38,0,9,0,0,1
54,"15 Alder Way, Armonk, NY 10504",0,70,100.0,899999,0.76,4,0,1,0,1
55,"113 Cox Ave, Armonk, NY 10504",0,66,95.6,1099000,0.93,1,0,2,1,2
56,"474 Bedford Rd, Armonk, NY 10504",0,71,97.2,1045000,0.88,3,0,2,1,1
57,"11 Fawn Ln, Armonk, NY 10504",0,49,100.0,2475000,2.09,5,0,7,4,1
58,"25 Agnew Farm Rd, North Castle, NY 10504",0,27,96.8,949000,0.8,3,0,4,2,1
59,"15 Schultz Way, Armonk, NY 10504",0,156,92.9,999000,0.84,1,0,4,3,1
60,"12 Upland Ln, Armonk, NY 10504",0,27,100.0,1469900,1.24,5,0,3,1,0
61,"10 Fox Ridge Rd, Armonk, NY 10504",0,87,100.0,2295000,1.94,3,0,1,0,1
62,"27 Thornewood Rd, Armonk, NY 10504",0,213,92.9,1625000,1.37,10,0,3,11,0
63,"26 Carolyn Pl, Armonk, NY 10504",0,1612,100.0,2170000,1.84,1,0,3,2,0
64,"19 Tallwoods Rd, Armonk, NY 10504",0,1063,66.7,1850000,1.56,5,0,1,6,0
65,"11 Woodfield Rd, Briarcliff Manor, NY 10510",1,0,100.0,586500,0.78,0,10,0,0,1
66,"184 Tuttle Rd, Briarcliff Manor, NY 10510",0,4076,100.0,1795000,2.39,4,0,2,0,0
67,"18 Beechwood Way, Briarcliff Manor, NY 10510",0,31,100.0,890000,1.19,5,0,1,0,2
68,"1 Summerland Ln #B, Briarcliff Manor, NY 10510",1,0,100.0,1152300,1.54,0,10,0,0,1
69,"86 River Rd, Briarcliff Manor, NY 10510",0,101,93.9,890000,1.19,3,0,2,5,0
70,"30 Barnes Ln, Chappaqua, NY 10514",1,0,100.0,398000,0.45,0,5,0,0,1
71,"15 Meadow Ln, Chappaqua, NY 10514",0,4025,100.0,1100000,1.24,6,0,1,0,0
72,"380 Whippoorwill Rd, Chappaqua, NY 10514",1,0,100.0,450000,0.51,0,2,0,0,1
73,"132 Devoe Rd, Chappaqua, NY 10514",1,0,100.0,473500,0.53,0,11,0,0,1
74,"6 Algonquin Dr, Chappaqua, NY 10514",0,34,100.0,910000,1.02,5,0,2,3,2
75,"820 Hardscrabble Rd, Chappaqua, NY 10514",1,0,100.0,742500,0.84,0,6,0,0,2
76,"428 Quaker Rd, Chappaqua, NY 10514",0,57,100.0,999000,1.12,4,0,2,0,0
77,"10 Pin Oak Ln, Chappaqua, NY 10514",0,11,97.0,940000,1.06,4,0,2,1,1
78,"98 Deepwood Dr, Chappaqua, NY 10514",0,23,100.0,1579000,1.78,5,0,1,0,1
79,"15 Cindy Way, Chappaqua, NY 10514",0,49,97.9,798000,0.9,4,0,1,1,1
80,"55 Kerry Ln, Chappaqua, NY 10514",0,15,92.8,1995000,2.25,4,0,4,4,2
81,"7 Crest Rd, Chappaqua, NY 10514",0,26,100.0,795000,0.9,5,0,2,0,1
82,"11 White Oak Ln, Chappaqua, NY 10514",0,116,93.9,1295000,1.46,2,0,2,4,0
83,"105 Valley View Rd, Chappaqua, NY 10514",0,70,100.0,1487000,1.67,4,0,5,1,1
84,"27 Overlook Dr, Chappaqua, NY 10514",1,0,100.0,1060367,1.19,0,11,0,0,1
85,"43 Haights Cross Rd, Chappaqua, NY 10514",0,58,95.9,1150000,1.3,3,0,1,1,1
86,"9 Ridgewood Ter, Chappaqua, NY 10514",0,157,100.6,679000,0.76,11,0,1,1,0
87,"478 Quaker Rd, Chappaqua, NY 10514",0,108,76.5,1299000,1.46,2,0,1,2,3
88,"395 Bedford Rd, Chappaqua, NY 10514",1,0,100.0,650000,0.73,0,10,0,0,1
89,"134 Orchard Ridge Rd, Chappaqua, NY 10514",1,0,100.0,1850,0.0,0,9,0,0,1
90,"37 Joan Dr, Chappaqua, NY 10514",1,0,100.0,1200000,1.35,0,9,0,0,2
91,"12 Turner Dr, Chappaqua, NY 10514",0,187,98.2,785000,0.88,8,0,1,2,1
92,"11 Breckenridge Rd, Chappaqua, NY 10514",0,421,88.2,1499000,1.69,2,0,3,7,2
93,"8 Colony Row, Chappaqua, NY 10514",0,599,81.0,810000,0.91,10,0,5,10,0
